word,spam,ham
url,26,212
status,17,54
configuration,2,86
including,110,83
oversubscribing,0,7
setting,6,88
digest,2,22
style,129,49
delivery,45,38
disabling,0,10
altogether,1,5
vacation,12,14
addition,30,25
send,196,170
message,258,589
request,51,187
address,321,213
containing,13,12
body,100,82
instruction,47,49
problem,56,564
comment,23,145
etc,105,258
thanks,36,254
password,17,88
few,24,27
apple,10,165
sauced,0,1
against,1,1
gray,5,36
lawrence,2,34
murphy,2,28
ask,26,53
seem,7,90
beautiful,13,11
think,46,389
shortly,5,8
discover,17,19
reason,38,116
john,44,101
cage,12,1
never,138,150
beauty,13,1
solve,7,23
finished,7,8
solution,78,106
wrong,12,148
r,604,344
buck minster,0,1
fuller,2,1
simplicity,4,2
highest,24,5
goal,19,29
achievable,0,1
overcome,0,4
difficulty,15,6
frederic,0,1
chopin,0,1
externalities,0,1
last,73,205
refuge,0,5
dirigibles,1,1
friedrich,1,3
hayer,0,1
whetting,0,31
bearer,1,20
underwriting,0,16
corporation,42,53
urquhart,2,16
street,64,45
boston,2,17
usa,34,35
stoical,0,1
scheme,4,14
supplying,2,1
lopping,0,1
cutting,15,16
foot,15,30
shoe,5,18
jonathan,6,2
swift,0,1
giant,13,17
mass,28,34
check,111,260
phew,1,3
claimed,7,9
learn,70,62
combinatorial,0,2
possibility,7,21
certainly,9,58
c,1355,1850
thursday,4,50
august,40,77
scott,2,12
crosby,0,3
thew,1,92
aug,11,110
craig,4,14
hughes,1,5
writes,4,94
stuff,16,144
subtle,6,3
imagine,13,22
happen,20,62
linearly,0,2
separable,0,2
gave,10,24
cannot,36,92
rpm,2,263
post,44,201
posture,0,2
etc have,0,1
tried,18,120
rebuilding,3,3
package,36,448
stock,53,79
rpm macros,0,2
file,49,786
still,62,290
build,27,105
install,4,239
installer,2,52
intended,52,32
tue,2,98
torten,0,4
wronger,0,2
halloween,0,2
moment,29,38
create,46,95
add,50,188
telex,0,1
texas,0,1
tree,7,46
therefore,21,24
defined,9,20
teashop,0,4
exists,3,35
spec,3,46
costly,6,5
operation,29,35
nevertheless,5,1
worth,13,69
particular,12,50
installed,6,196
together,35,54
many,239,247
per,127,119
skipped,2,7
omnipotent,13,1
script,13,101
update,52,357
tex,2,12
database,52,89
schoenberg,0,2
chris,6,95
klondike,3,2
kde,2,350
otherwise,5,43
wotan,0,41
sending,58,32
long,83,140
rude,1,18
unpleasant,1,6
direct,70,29
ahead,8,13
everything,44,85
ever,71,126
mail,496,500
demand,23,27
warranted,0,1
filled,9,8
broken,0,53
bug,17,271
subject,114,560
mistaken,1,5
benefit,39,25
doubt,11,38
publish,7,8
complaining,0,7
getting,32,132
correctly,4,38
state,360,138
lee,37,13
chi,19,30
sh reef,0,1
according,37,38
policy,143,52
subscribe,60,27
hr,42,73
ad,199,65
perhaps,9,60
read,88,290
la,59,36
complaint,2,8
exactly,52,95
hard,26,105
identify,2,15
dynamic,10,24
nature,18,16
crime,9,9
clearly,6,20
feel,49,46
subj,0,2
acted,2,5
bullying,0,1
intend,8,6
issue,68,313
fix,7,126
appreciate,13,22
expect,14,40
turn,27,75
around,67,123
contributor,0,10
taking,18,39
interest,102,34
people,240,356
cohen,1,42
trouble,73,434
contact,138,483
archive,11,455
picked,0,10
patch,1,73
submit,14,36
cv,11,40
eventually,18,15
fixing,1,16
please,464,268
let,112,135
mark,10,106
scarborough,1,1
scar,0,1
biggest,5,15
always,59,160
render,1,8
html,24,134
speed,60,59
porno,1,1
away,48,73
option,23,179
view,175,73
part,116,133
netscape,5,14
featured,17,22
viewer,5,14
determine,7,13
risk,73,29
exam,5,175
tossed,0,3
con fig,0,96
uri,0,5
interdisciplinary,0,1
sense,8,88
anyway,0,69
text,230,159
defer,0,2
selected,11,23
display,11,110
incline,28,4
checking,1,24
box,63,107
button,20,83
menu,7,56
tomas,0,6
thank,77,40
thinking,13,52
expressed,8,8
couple,11,62
coloring,0,2
highlighting,1,8
characterize,0,2
care,57,43
functionality,3,24
everyone,30,58
choose,23,40
engine,19,39
external,5,77
browser,29,116
basis,16,22
brent,3,13
belch,1,9
architect,1,21
panamas,0,6
inc,110,142
pioneering,1,7
world,173,231
scalable,0,9
agile,1,6
storage,14,51
enter,46,37
hi body,116,0
national,100,28
frequently,4,14
would,225,623
web,195,392
page,144,218
april,28,60
source,52,180
jr,17,50
gloat,1,0
paul,12,38
september,47,80
crisis,7,4
landslide,1,0
cause,18,57
train,16,7
derail,1,0
merino,1,0
italy,22,0
killing,9,7
nine,14,7
injuring,1,0
dozen,2,12
european,51,22
settlement,15,5
theme,7,22
australian,28,5
art,53,24
landscape,7,0
albert,5,2
namath,1,4
arthur,5,2
street on,1,0
associated,15,23
heidelberg,1,0
school,61,41
intergenerational,2,0
equity,10,1
reversibility,1,0
environmental,16,1
uncertainty,1,4
term,125,56
outcome,4,5
sustainable,1,2
development,48,114
guide,61,21
ecological,3,1
economic,31,12
analysis,11,15
valuation,3,0
lake,25,6
issy,1,0
kl,21,11
north,71,12
eastern,24,2
tan,6,0
largest,43,18
kyrgyzstan,3,0
second,83,146
mountain,24,3
titicaca,1,0
fifth,8,3
final,26,18
category,21,16
importance,5,4
caring,1,3
oneself,1,2
thus,29,43
act,61,25
poor,21,21
precision,1,0
asteroid,4,2
estimated,13,1
somewhat,4,22
el,156,215
massive,9,6
psyche,2,4
juno,1,1
binomial,3,0
marsh,1,0
rice,9,1
rat,5,12
active,94,23
night,25,28
nest,2,4
sedge,1,0
grass,6,2
occasionally,5,5
runway,2,0
loss,46,28
ratio,25,7
calculated,5,3
dividing,3,0
amount,38,35
adjustment,2,2
expense,18,11
earned,7,2
premium,19,3
placed,24,7
various,37,67
interval,3,2
along,54,38
route,8,17
railway,14,3
controlling,2,4
specified,3,11
section,33,65
fisher,1,3
z,314,130
hernandez,2,0
prado,3,1
a,42,15
ch,61,35
dud,23,0
yoshiko,2,0
herzegovina,3,0
silverman,1,2
n,565,338
mckenzie,2,0
president,86,34
poland,10,0
non,115,134
presidential,9,0
head,95,38
grace,4,7
disliked,1,1
rest,24,33
season,19,14
finale,2,2
showed,2,18
humane,3,0
face,139,83
invited,7,2
dine,1,2
danell,1,0
melissa,1,4
nu,14,10
sue,4,24
upton,1,0
government,189,107
morocco,7,0
suggested,9,21
governing,8,1
entity,9,19
royal,32,2
advisory,6,17
council,34,0
saharan,1,0
affair,14,5
cocas,2,0
govern,2,1
territory,34,5
degree,42,14
autonomy,2,0
western,35,6
sahara,4,1
hansen,3,0
tm,134,27
barabbas,2,0
ivanhoe,1,0
pi,28,153
wasteland,1,0
rf,6,2
atkins,3,2
january,50,5
six,45,31
colony,57,7
became,56,20
federation,7,1
commonwealth,8,0
australia,24,10
formed,12,6
space,58,60
shuttle,4,2
retired,1,2
nasa,5,3
discovered,16,22
assigned,14,4
symbol,14,34
traditionally,5,2
designate,1,0
earth,46,21
moon,3,13
sun,21,130
planet,17,22
chalice,1,0
macarthur,2,1
fellow,5,6
international,106,28
human,39,29
judicial,9,2
supreme,5,7
tribunal,4,2
justice,8,18
supremo,1,0
de,137,103
justiciable,1,0
whose,14,26
magistrate,2,1
elected,29,7
parliament,21,8
twelve,6,0
year,379,278
university,67,34
home,228,222
college,34,13
graduate,6,2
undergraduate,5,2
master,45,19
doctoral,1,0
four,53,37
professional,156,49
victoria,7,5
county,48,1
history,78,36
wilt shire,2,1
volume,22,30
several,97,90
phenomenon,7,6
prefigure,1,0
upcoming,5,11
period,46,19
hong,12,4
kong,14,1
expensive,17,14
city,145,37
expatriate,1,2
behind,24,32
tokyo,12,0
osaka,2,0
moscow,10,1
geneva,22,3
born,18,6
seemly,1,0
entered,17,8
winchester,1,1
astronomer,2,5
began,45,5
realize,10,18
impact,40,15
cruikshank,1,0
aa,62,40
meter,16,13
ft,98,20
diameter,2,2
beaumont,1,0
english,69,32
boring,2,4
dug,10,2
pilot,4,3
tunnel,4,4
shakespeare,1,0
cliff,2,4
earlier,12,32
attempt,14,20
designing,2,0
failed,19,81
arranging,1,0
piston,1,0
move,44,68
correct,6,56
manner,4,10
three,102,68
cylinder,4,4
delta,4,7
caused,7,21
junker,1,0
motormen,1,0
leave,29,43
continuing,12,5
prototype,1,5
diamond,7,3
crankshaft,1,0
jumbo,1,0
us,35,204
kelvin,2,1
disambiguation,13,0
thereafter,6,4
mammal,4,3
india,28,14
asia,29,6
zoo geographical,1,0
pass,6,6
either,47,121
emerging,5,3
himalaya,1,0
today,220,148
turkish,1,2
town,38,14
trula,1,0
vicinity,1,2
archaeological,6,1
grown,13,2
recently,25,70
service,259,213
tourist,6,0
trade,68,37
close,22,52
center,77,73
lay,15,9
large,59,57
temple,78,5
bast,1,0
copyright,93,86
beam,1,0
perl,0,193
story,35,108
newsletter,222,102
moscone,0,9
lightning,1,5
talk,21,77
on line,166,112
posted,10,69
gnat,2,14
friday,19,34
news,125,248
available,118,164
or,15,193
website,95,41
dan,23,34
brain,7,58
suck,6,28
rock,15,20
quicklime,0,143
mp,32,150
ingersoll,1,1
hash bang,0,1
enjoy,24,21
continues,4,20
discus,5,44
mail to,36,58
nudge,0,20
reserved,128,70
received,126,66
stop,52,83
receiving,94,44
preference,41,61
log,19,180
summer,15,28
selfsameness,2,0
reeking,2,0
tensorial,2,0
subjectivist,2,0
cofactor,2,0
specifically,10,24
critically,5,1
hawks bill,2,0
whore,2,0
worldly,2,1
encrypt,2,3
edam,2,0
replication,2,1
control lab,1,0
ironer,2,0
mayoral,4,0
hostage,4,7
enlists,2,0
discrepantly,2,0
bunny,2,1
mismanagement,2,0
mi,63,38
pases,6,0
glut,2,0
invulnerable,2,0
butch,2,0
alarmist,2,0
hustled,2,1
malefactor,2,0
irrelevant,1,3
vance,1,3
elitism,3,0
boaster,2,0
crossbeam,2,0
idolatrous,2,0
screwball,3,0
pitting,2,1
pregnant,1,5
ices,1,0
slanting,2,0
overburdening,2,0
quickens,2,1
certificate,9,19
cookie,12,6
amplify,3,0
tally,2,1
receipted,2,0
pennyworth,2,0
sans,86,5
antilogs,3,1
fraudulence,2,0
completive,2,0
exceeding,2,1
chrome,3,4
cinematographic,1,0
awakes,2,0
tonsure,2,0
kleptomaniac,2,0
hem,4,1
launch,10,24
bidder,2,6
ovation,2,0
scow,1,0
officer,41,10
jumpiness,2,0
chloroplast,2,0
contest,9,7
assayer,3,0
deduction,5,0
consummate,2,0
ly,40,12
treacherously,2,0
footstep,2,1
hypercritically,1,0
controllable,1,0
impasse,2,0
irrelevance,1,1
pregnancy,14,1
tallyho,1,0
chromatographic,1,0
scowl,1,0
consummately,1,0
hoc,9,3
egypt,14,6
zonda,8,0
warwick,5,0
amerasian,2,0
thebault,8,1
oaf,13,10
farm,23,4
sty,12,0
oak,20,4
q,271,142
tl,56,7
ufo,9,1
ex,38,31
vp,26,11
bf,197,68
yahweh,8,0
neg,25,8
u,760,428
dishpan,8,0
dz,44,13
tba,11,0
um,22,20
put,66,169
bx,23,23
inna,11,0
pk,27,11
en,69,87
on,15,3
iii,18,32
viz,13,2
b,1069,725
knock,2,2
hand,43,85
km,31,39
arr,4,2
ea,57,39
gauziness,1,0
int,10,20
tv,79,43
rycca,4,0
endgame,2,0
splice,2,0
kovacs,5,0
gdansk,1,2
ca,87,63
cns,2,0
magi,4,11
mdse,7,3
pyx,10,4
wk,17,6
bjorn,2,3
umiak,3,0
ssh,8,36
growths,1,0
pugh,1,0
lip,6,5
gi,3,9
umbra,6,1
af,78,19
o,49,223
nh,16,3
ah,22,21
pt,278,46
gab,7,7
alt,13,38
afro,3,0
tin,24,8
np,8,2
bronze,4,0
frick,1,0
defrost,3,0
db,84,114
sic,8,6
baa,9,10
if,13,9
earful,2,0
nj,16,2
ab,81,26
al,34,38
frost,2,1
ghq,2,1
ap,7,9
wp,3,7
amp,89,17
iud,3,1
froward,2,0
lg,20,29
socorro,2,0
fro,5,3
aaa,3,2
nous,3,0
an,27,23
err,3,12
y,65,47
ko,4,2
larch,2,0
muzak,2,0
yo,20,10
iguana,4,0
rig,7,7
amyl,1,0
urn,4,1
talker,1,1
vs,15,12
any,3,1
circus,1,2
yemeni,2,0
cu,21,11
ukase,10,6
kg,22,16
linkage,4,1
op,32,24
adj,11,2
shahs,1,0
mg,30,48
fan,7,27
quirk,3,1
rp,6,5
mucker,1,0
lockable,1,0
nb,15,12
gob,1,0
ya,20,14
mu,23,11
lp,4,7
tau,9,3
zuzana,2,0
ot,8,25
joell,1,0
oar,4,2
fps,2,5
unify,2,0
subvert,1,1
setback,2,1
sf,36,138
dazzle,2,0
begrime,2,0
medusa,1,0
kw,17,7
fagin,1,1
t,91,32
filmstrip,1,0
iago,2,0
navajo,1,1
dins,1,1
effluvia,2,0
carious,1,0
cadenza,2,0
az,7,4
influent,2,0
vents,2,0
muawiya,2,0
mew,3,2
lodestar,1,0
poker,13,2
dice,2,19
kvetch,4,1
ty,8,3
iqbal,7,5
mfr,3,1
rps,17,2
nt,23,22
yr by,1,0
benn,1,0
cw,14,13
usu,9,4
hannah,1,1
czar,5,2
jozef,1,13
phd,1,0
lo,23,20
bean,2,3
squamous,1,0
testamentary,1,0
cuddly,1,1
kph,11,6
bi,29,18
grenadine,2,0
ulysses,1,1
ff,155,46
acrux,1,1
nhl,11,1
loanword,1,1
ova,11,1
ons,7,2
of,5,6
hadrian,1,0
lippi,1,0
hf,27,19
ok,46,90
cm,31,71
yen gr,1,0
qua,1,2
akron,2,1
tun,1,0
scab,2,0
dizzy,2,0
revlon,7,0
pee,3,0
elastomer,1,0
fuss,1,0
cozmo,2,1
yd,54,19
boob,3,1
decnet,1,0
od,14,3
zukor,2,1
maire,1,1
vd,38,7
tamqrah,2,1
rwandans,1,0
hybridize,1,0
oath,1,0
rim,7,2
xv,29,7
iv,23,29
qc,10,2
fas,12,0
uso,1,0
zoo,14,10
quo,9,3
mash,2,2
sac,2,1
tog,6,0
sept,6,21
va,17,4
jib,6,1
rv,4,8
cry,5,2
mis,2,4
inf,6,1
cinda,1,0
kliment,3,0
nth,13,11
zig,10,5
ho,15,7
ltd,23,11
pammy,3,0
goblin,1,0
phi,12,16
vend,2,0
carefree,1,1
pr,52,25
uk,31,49
sec,10,20
yak,5,1
watt,1,2
yul,4,1
immanuel,2,0
eng,3,0
eastwick,1,0
hdqrs,2,2
am,9,21
vivo,46,5
wrappers,1,0
gook,1,0
ht,13,9
hwy,5,0
leland,1,1
phekda,1,0
hunk,1,0
browne,1,1
zip,37,21
muckrake,1,0
relax,9,0
yoruba,1,0
indexer,2,3
lamar,1,0
cir,31,151
drugi,1,0
wars,1,0
evy,1,0
gwynne,1,0
ezri,3,2
zarla,2,1
leg,5,14
high,127,131
sixgun,1,1
leukocyte,1,0
faisal,1,1
qm,8,1
griff,1,0
goalie,2,0
ieyasu,3,0
nyasa,3,0
ogive,5,0
epigram,1,0
rockford,1,0
men,74,28
quern,1,5
orkney,5,0
exhaust,3,0
it'd,1,0
d,40,84
ppm,2,2
dressmaking,1,0
silvanus,1,0
quezon,1,0
burble,1,0
quorum,1,0
qr,15,8
jot,2,1
dvina,3,8
waister,2,0
lr,3,1
feodor,1,0
abuzz,1,0
recd,1,2
rm,54,94
uv,9,2
eek,6,13
oyster,1,4
ak,6,2
fumble,2,0
ate,5,3
age,125,41
pat,3,6
wide,23,32
awl,13,15
usaf,1,0
swim,4,2
vb,13,14
wy,5,3
minsk,1,0
ban,6,6
dev,4,297
smilax,1,0
pith,2,0
ebb,4,18
cg,63,30
ham,4,34
whereon,1,0
air,45,26
void,13,14
flywheel,1,0
jackboot,1,0
mo,24,14
nyssa,2,0
be,57,42
kublai,2,0
tom,6,31
chg,11,4
baffle,1,0
ul,18,2
rio,1,15
tybi,1,0
kt,25,26
tyson,1,2
cute,1,4
ufa,6,0
brew,10,6
buggy,2,6
wa,18,3
tweezed,1,0
iowa,7,1
nlrb,7,3
item,27,21
opp,3,0
zollie,4,0
vyky,9,5
tr,79,20
pe,8,13
zia,4,0
jp,10,3
zounds,3,0
bow,19,6
wig,10,1
hov,1,0
frame,3,35
hence,18,10
hoard,1,0
hz,11,18
ax,18,14
gdp,5,0
oxford,9,2
om,20,11
sqq,2,2
bu,9,8
basaltic,1,1
man,43,93
enmity,1,1
th,229,189
shekel,1,0
aswan,2,0
ovum,2,1
ow,8,5
lazes,1,0
pyknotic,1,1
trw,2,0
enc,17,24
woodcut,2,1
goethals,2,0
eh,12,17
was,3,1
tumor,6,0
wed,5,120
ewe,10,6
mpg,10,8
by,48,8
hoyden,1,0
auto,28,29
av,24,15
gigo,1,1
annnora,1,0
orono,1,0
tacit,1,3
belmopan,1,0
ii,67,69
mag,3,5
muddle,1,2
gypsum,4,0
boxwood,1,0
jasmin,2,0
bannock,1,1
caz,3,0
nymph,4,0
ultrafast,2,0
invalidism,1,0
araucanian,1,0
chat,9,10
prewar,1,0
cris,1,0
flu,7,15
krieger,1,0
as,13,24
ekstrom,2,1
m,71,60
utmost,5,1
cissiee,1,1
mph,4,20
me,8,9
khan,7,3
jar,22,10
goofy,2,1
disgruntlements,1,0
gpss,3,1
shyest,1,0
rocket,8,3
mono,3,8
bk,19,13
i,74,52
auckland,1,0
tad,2,0
busker,1,0
key,24,170
croquet,1,0
cup,18,23
pry,4,0
owen,3,14
rec,6,2
caftan,1,0
pf,63,94
fe,19,16
hotelman,1,0
gm,21,53
maw,5,1
submerge,1,1
antihero,1,0
mt,36,17
swayer,1,0
wi,29,13
jarret,1,0
xi,11,3
irita,1,0
virtuous,1,0
kn,30,9
yip,2,2
ox,19,18
ism,6,5
kroger,1,2
yo eh,1,0
rriocard,2,0
aye,2,0
popcorn,1,0
fijian,3,0
def,4,6
fjord,3,4
osiris,2,0
bogie's,1,0
dj,10,6
lawmaking,1,0
hobs,1,0
buckley,1,0
gp,9,6
tutor,1,1
tnpk,4,2
arm,16,36
co,61,78
dorky,1,0
data,49,244
usher,2,0
ks,8,3
vestry,2,0
bhutto,1,0
pie,9,15
ck,33,19
rt,23,25
skyward,1,1
turk,9,9
etching,1,0
swimsuit,3,0
gag,4,0
rowe,1,0
ncc,1,0
alphard,1,0
otis,2,0
dumbwaiter,1,0
rr,5,5
ohio,14,1
encl,2,0
jd,5,8
itchy,1,2
debra,1,0
chm,21,37
boccie,1,0
eutectic,1,0
betray,4,1
elbrus,1,0
sussex,1,0
cap,4,9
zwingli,13,4
regally,1,0
zack,4,0
jdavie,2,5
wax,9,2
tynan,1,2
cf,71,88
zephyr,1,0
hog,1,1
nba,2,1
mt kw,1,0
inpatient,1,0
markka,1,0
pursuance,1,0
veg,4,2
sad,12,59
husking,1,0
enriqueta,1,0
delftware,1,0
quavering,1,0
rodi,5,1
pox,2,0
sextets,1,0
hieroglyphs,1,0
joanne,3,0
jg fps,1,0
oasis,2,0
dim,48,19
rydberg,2,0
nz,13,6
fumy,2,0
eat,14,17
burns,1,0
xavier,3,2
situ,2,6
midship,1,0
forklift,1,1
akim,2,0
aimil,1,0
lab,3,13
backwash,1,0
aksel,3,1
voluble,1,0
assn,2,2
soc,6,4
dasi,1,0
hying,1,1
oleo,1,0
xx,25,31
tapioca,1,1
jfk,6,8
xl,9,6
oks,1,0
dandle,1,0
vomit,1,0
wt,20,19
epochal,2,1
lambency,2,0
yt,6,3
aloof,1,0
vhf,6,4
forward,33,53
corset,1,1
zit,5,2
rutty,1,0
ikey,5,1
kp,4,2
uh,7,8
unmask,1,0
elijah,2,0
diva,3,4
ywca,5,0
cod,3,3
rd,84,54
agency,37,8
oops,2,12
ysabel,7,1
gudgeon,1,0
mys,1,2
mp wt,1,0
awash,2,0
la sou,1,0
humvee,2,1
kc,50,11
gr,26,20
tux,1,5
adkins,3,0
sanctum,1,0
pj's,9,1
struggler,1,0
sub,19,138
mg bl,1,0
webbing,1,1
bxs,5,2
sphere,4,0
mendocino,1,0
tn,20,4
ajax,2,0
doc,5,51
shh,2,3
tow,20,0
wac,2,0
cilium,1,0
crave,2,0
aux,6,11
ha,61,54
azure,4,1
zsazsa,7,0
alp,2,0
sol,3,16
marred,1,2
moyra,3,0
ct,68,10
iggy,5,0
drupe,1,7
magda,2,0
sky,8,13
pygmalion,1,0
crag,1,0
ncr,2,0
bhopal,8,1
euclid,2,0
fa,52,40
cant,1,10
kingpin,1,0
pbx,2,0
fwy,13,0
nv,22,32
mtge,4,0
yellow,47,3
apologia,2,0
oz,93,22
saga,3,1
tx,12,14
khufu,4,1
papilla,1,0
fowling,1,0
ls,17,20
il,22,4
wv,12,6
sexpot,1,0
gd,9,6
judgeship,1,0
scrotal,1,0
lhasa,5,0
muddily,1,0
annum,1,0
vj,6,4
himmler,1,0
fearsomeness,1,0
var,10,58
oems,2,0
calming,5,0
practiced,2,0
resew,1,3
waveband,1,0
mm,67,81
bargemen,1,0
kiribati,3,0
vg,6,2
alabaman,2,0
manacle,1,0
pc,153,119
aphorism,1,0
ozark,10,0
linnaeus,3,0
affable,2,0
cadmium,1,0
almanac,3,0
ingaborg,1,0
nanook,1,0
brusque,2,0
ff ac,1,0
ting,4,4
scurf,2,0
ager,1,1
ref,19,16
blowup,1,0
ivy,6,5
nm bx,1,0
yvor,6,0
vdu,4,2
beman,2,0
raw,14,14
drizzly,1,0
rimless,1,0
labors,1,0
josef,2,0
pb,15,2
wc,13,6
dirt,6,3
jointly,2,0
jasun,2,1
etd,1,0
lieu,15,10
nerdy,1,0
beebe,1,0
hq,4,3
gu,9,1
oil,41,14
tubercular,1,0
discernibly,1,0
wet,11,2
draftiness,1,0
dbl,10,31
eydie,2,0
taffrail,1,0
wozniak,1,5
din,7,3
lb,32,7
ail,1,3
ashly,2,0
dozenths,1,0
kermit,1,3
jul,2,60
vivacity,1,0
waterfall,2,0
